Asset,OOS_Start,OOS_End,Ann_Return,Benchmark_Return,Excess_Return,Sharpe,Max_DD,Full_Sample_Seasonality_P,Adjusted_P,Seasonal_Diagnostic
LUMBER,1978-01-01,2023-12-01,10.236032347675849,2.0489104701381766,8.187121877537672,0.6620416247615339,-20.725257467681054,9.99000999000999e-4,0.002747252747252747,Full-sample seasonality diagnostic significant after BH adjustment
WHEAT,1965-01-01,2023-12-01,5.723202069556765,2.570247237911727,3.1529548316450384,0.4344157247954102,-36.000766143858364,9.99000999000999e-4,0.002747252747252747,Full-sample seasonality diagnostic significant after BH adjustment
CORN,1965-01-01,2023-12-01,4.40157430335244,2.2549934071343314,2.1465808962181088,0.42282569328910075,-34.99902433999873,9.99000999000999e-4,0.002747252747252747,Full-sample seasonality diagnostic significant after BH adjustment
OATS,1975-01-01,2023-12-01,1.7801877784463516,1.7984481146708253,-0.01826033622447376,0.20042778257253918,-57.967066788894314,0.3806193806193806,0.42637362637362636,Full-sample seasonality diagnostic not significant
COFFEE,1975-01-01,2023-12-01,1.8182130206699787,2.1098324878199293,-0.2916194671499506,0.1866379304975874,-48.039409868390734,0.3646353646353646,0.42637362637362636,Full-sample seasonality diagnostic not significant
SOYOIL,1966-01-01,2021-12-01,2.663925206094553,3.048322898427691,-0.38439769233313825,0.24831695855976194,-42.313313218087444,0.2097902097902098,0.32967032967032966,Full-sample seasonality diagnostic not significant
COTTON,1975-01-01,2023-12-01,0.13140468456724896,1.5923743445281469,-1.460969659960898,0.07098034028722831,-46.281025643634344,0.01998001998001998,0.04395604395604396,Full-sample seasonality diagnostic significant after BH adjustment
SOYBEANS,1974-01-01,2023-12-01,0.03968178761613039,1.6305658735563444,-1.590884085940214,0.06355887516516719,-56.80398525494055,9.99000999000999e-4,0.002747252747252747,Full-sample seasonality diagnostic significant after BH adjustment
OJ,1986-01-01,2023-12-01,0.15744382236380083,1.89987459447567,-1.7424307721118693,0.056315315881481504,-21.284858586055712,0.15784215784215785,0.2893772893772894,Full-sample seasonality diagnostic not significant
GOLD,1921-01-01,2023-12-01,1.1887529729016633,4.572458633385446,-3.3837056604837823,0.16994601266670448,-66.88520112078446,0.3876123876123876,0.42637362637362636,Full-sample seasonality diagnostic not significant
DOWJONES,1920-01-01,2023-12-01,0.4427819000953903,5.7985830461320775,-5.355801146036687,0.09568503346496894,-58.182255443512,0.7522477522477522,0.7522477522477522,Full-sample seasonality diagnostic not significant
